2 	0xd6945000
4 0Ø	0x542d3800
2 Ó±	0x82f7de00
3 Ó±	0x2c327a00
4 Ó±	0x93760e00
2 ≤	0x8577fa00
3 ≤	0x1bde8e00
4 ≤	0xdf598a00
2 Rµ	0x88037c00
3 Rµ	0x1d7c3400
4 Rµ	0x6a85dc00
2 ≠∏	0x8a8efe00
3 ≠∏	0x1f19da00
4 ≠∏	0xf5b22e00
2 º	0x8f9a9c00
3 º	0x10639400
4 º	0xccc1fc00
2 œæ	0x8fa60200
3 œæ	0x22552600
4 œæ	0xc0ad200
2 Ç≈	0x973d2200
3 Ç≈	0x153c8600
4 Ç≈	0x6e46f200
2 '∆	0x99bd3e00
3 '∆	0x4e89a00
4 '∆	0xba2a6e00
2 ›»	0x99c8a400
3 ›»	0x16da2c00
4 ›»	0xf9734400
2 v…	0x9c48c000
3 v…	0x6864000
4 v…	0x4556c000
2 AÃ	0x9ed44200
3 AÃ	0x823e600
4 AÃ	0xd0831200
2 êœ	0xa15fc400
3 êœ	0x9c18c00
4 êœ	0x5baf6400
2 5–	0xa3dfe000
3 5–	0xf96da000
4 5–	0xa792e000
2 „“	0xa3eb4600
3 „“	0xb5f3200
4 „“	0xe6dbb600
2 ¶Ÿ	0xab826600
3 ¶Ÿ	0xfe469200
4 ¶Ÿ	0x4917d600
2 Ò‹	0xae0de800
3 Ò‹	0xffe43800
4 Ò‹	0xd4442800
2 
›	0xb08e0400
3 
›	0xef904c00
4 
›	0x2027a400
2 e‡	0xb3198600
3 e‡	0xf12df200
